"Canton","Vehicle group / type","Fuel","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Switzerland","... Tow tractor","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Diesel-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Electricity",0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,6
"Switzerland","... Tow tractor","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Gas (monovalent and bivalent)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Other",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Tow tractor","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Forklift","Petrol",8,14,14,15,8,5,1,5,4,3,1,7,3,0,5,6,4
"Switzerland","... Forklift","Diesel",497,521,570,606,671,633,656,750,770,707,752,719,708,805,853,780,784
"Switzerland","... Forklift","Petrol-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Switzerland","... Forklift","Petrol-electricity: plug-in hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Forklift","Diesel-electricity: conventional hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Switzerland","... Forklift","Diesel-electricity: plug-in hybrid",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Forklift","Electricity",2,0,0,0,1,0,0,0,0,0,0,4,3,5,16,18,39
"Switzerland","... Forklift","Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Forklift","Gas (monovalent and bivalent)",0,0,1,2,3,0,5,1,1,1,0,0,0,0,0,0,1
"Switzerland","... Forklift","Other",4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Forklift","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Industrial utility vehicle","Petrol",99,107,155,132,153,108,158,155,144,134,154,140,141,149,130,105,84
"Switzerland","... Industrial utility vehicle","Diesel",1139,1292,1343,1609,1415,1457,1585,1806,1588,1640,1610,1625,1569,1675,1734,1628,1620
"Switzerland","... Industrial utility vehicle","Petrol-electricity: conventional hybrid",0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0
"Switzerland","... Industrial utility vehicle","Petrol-electricity: plug-in hybrid",0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"Switzerland","... Industrial utility vehicle","Diesel-electricity: conventional hybrid",0,0,1,0,1,0,0,1,0,0,1,3,0,0,2,0,2
"Switzerland","... Industrial utility vehicle","Diesel-electricity: plug-in hybrid",0,0,0,1,1,0,0,1,0,1,0,1,0,3,0,0,0
"Switzerland","... Industrial utility vehicle","Electricity",66,67,82,136,88,97,149,151,147,175,170,198,204,265,288,308,444
"Switzerland","... Industrial utility vehicle","Hydrogen",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Switzerland","... Industrial utility vehicle","Gas (monovalent and bivalent)",8,7,8,11,13,17,15,16,17,18,22,13,12,11,7,9,7
"Switzerland","... Industrial utility vehicle","Other",49,14,7,2,3,0,0,0,0,2,0,1,0,0,0,0,0
"Switzerland","... Industrial utility vehicle","Without motor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
