Canton,Vehicle group / type,Year of first registration,Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,... Delivery vehicle,1980 - 1989,Other,11,10,8,40,104,137,156,117,87,67,44,29,2,2,2,12,20,24,102,64,104,121,116,95,74,54,40,26,23,20,17,17
Switzerland,... Delivery vehicle,1980 - 1989,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,1990 - 1999,Petrol,10267,23497,34249,41851,50502,59372,66803,73447,79951,85654,84974,81284,76821,72232,67335,62626,57225,51347,44980,38644,33174,28429,23749,19320,16142,13356,11304,9665,8287,7201,6451,5916
Switzerland,... Delivery vehicle,1990 - 1999,Diesel,5749,10652,14239,17210,21439,26189,31572,38055,45728,55506,56944,54849,52616,50034,47835,45984,43020,40225,34925,30718,27305,24313,21062,17631,14768,12372,10466,8944,7474,6335,5535,4936
Switzerland,... Delivery vehicle,1990 - 1999,Electricity,0,6,8,25,27,22,31,31,39,53,55,51,41,41,37,32,26,25,21,17,14,15,11,9,6,5,3,3,4,3,2,2
Switzerland,... Delivery vehicle,1990 - 1999,Other,0,0,0,10,22,42,52,49,44,31,27,44,25,22,21,28,30,39,82,119,162,145,128,105,78,62,54,47,42,36,32,32
Switzerland,... Delivery vehicle,1990 - 1999,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2000 - 2004,Petrol,0,0,0,0,0,0,0,0,0,0,5603,11896,17249,20929,24307,24925,24705,24041,23101,22152,21077,19730,18272,16347,14503,12633,11052,9422,7998,6709,5810,5016
Switzerland,... Delivery vehicle,2000 - 2004,Diesel,0,0,0,0,0,0,0,0,0,0,10600,26842,41646,55208,69398,72495,71768,69856,66714,64136,61810,59159,55154,50470,45860,40790,36220,31441,27091,23280,20416,18057
Switzerland,... Delivery vehicle,2000 - 2004,Electricity,0,0,0,0,0,0,0,0,0,0,21,22,33,48,62,65,64,58,54,51,49,47,38,32,26,24,21,17,16,14,11,7
Switzerland,... Delivery vehicle,2000 - 2004,Other,0,0,0,0,0,0,0,0,0,0,84,141,141,161,256,307,294,292,300,294,264,245,218,197,163,140,109,85,70,47,41,33
Switzerland,... Delivery vehicle,2000 - 2004,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2005 - 2009,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,5676,8817,12215,15539,16275,16133,15844,15279,14801,13985,13075,12077,11077,10018,9158,8211
Switzerland,... Delivery vehicle,2005 - 2009,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9920,28530,47969,68086,85250,88947,87860,85909,83317,80331,77053,72643,67821,62649,56848,51946,47190
Switzerland,... Delivery vehicle,2005 - 2009,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,14,24,25,27,27,26,22,20,14,13,12,9,10,9,7
Switzerland,... Delivery vehicle,2005 - 2009,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,362,680,1062,1471,1533,1522,1506,1445,1380,1292,1183,1091,945,860,774,674
Switzerland,... Delivery vehicle,2005 - 2009,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2010 - 2014,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,5919,9259,12062,14917,15551,15310,14839,14407,13872,13359,12818
Switzerland,... Delivery vehicle,2010 - 2014,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14625,37947,64451,90266,114777,119777,118161,115257,111660,107465,103649,99266
Switzerland,... Delivery vehicle,2010 - 2014,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,129,242,322,354,348,354,347,327,327,318
Switzerland,... Delivery vehicle,2010 - 2014,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,409,650,904,1076,1174,1160,1138,1090,1070,1002,926
Switzerland,... Delivery vehicle,2010 - 2014,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2015,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305,3092,3084,3055,2960,2926,2873
Switzerland,... Delivery vehicle,2015,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20067,27076,26945,26889,26320,25873,25526
Switzerland,... Delivery vehicle,2015,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,148,150,152,156,154,151
Switzerland,... Delivery vehicle,2015,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,138,141,137,138,137,131
Switzerland,... Delivery vehicle,2015,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2016,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,2914,2886,2860,2758,2721
Switzerland,... Delivery vehicle,2016,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19650,26281,26198,25990,25379,25077
Switzerland,... Delivery vehicle,2016,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,173,171,177,172,174
Switzerland,... Delivery vehicle,2016,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,164,163,163,161,153
Switzerland,... Delivery vehicle,2016,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2017,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376,3185,3178,3166,3082
Switzerland,... Delivery vehicle,2017,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20149,27495,27195,27225,26863
Switzerland,... Delivery vehicle,2017,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,180,184,184,184
Switzerland,... Delivery vehicle,2017,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,167,166,167,152
Switzerland,... Delivery vehicle,2017,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2018,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2532,3388,3393,3400
Switzerland,... Delivery vehicle,2018,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20072,27482,27511,27461
Switzerland,... Delivery vehicle,2018,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,277,283,285
Switzerland,... Delivery vehicle,2018,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,191,191,195
Switzerland,... Delivery vehicle,2018,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2019,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558,3927,4199
Switzerland,... Delivery vehicle,2019,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20996,28878,29238
Switzerland,... Delivery vehicle,2019,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,547,551
Switzerland,... Delivery vehicle,2019,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,166,170
Switzerland,... Delivery vehicle,2019,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2020,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,1754
Switzerland,... Delivery vehicle,2020,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17499,22607
Switzerland,... Delivery vehicle,2020,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,679
Switzerland,... Delivery vehicle,2020,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,232
Switzerland,... Delivery vehicle,2020,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Delivery vehicle,2021,Petrol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687
Switzerland,... Delivery vehicle,2021,Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18987
Switzerland,... Delivery vehicle,2021,Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893
Switzerland,... Delivery vehicle,2021,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Switzerland,... Delivery vehicle,2021,Without motor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,... Goods truck (lorry),Before 1960,Petrol,32,30,30,31,30,34,30,24,24,36,32,35,33,31,28,29,43,44,49,50,39,40,39,37,33,35,39,36,41,40,42,42
